Category;Family;StyleName;Slope
serif;Accolade Serial;Accolade Serial ExtraBold;90.0
serif;Accolade Serial;Accolade Serial Italic;102.0
serif;Accolade Serial;Accolade Serial Regular;90.0
serif;Accolade™;Accolade Bold;90.0
serif;Accolade™;Accolade Light Italic;102.99999904632568
serif;Accolade™;Accolade Light;90.0
serif;Accolade™;Accolade Medium;90.0
serif;Acharnes;Acharnes Regular;90.0
serif;Acherone;Acherone Regular;90.0
serif;Acosta;Acosta Black Italic;99.0
serif;Acosta;Acosta Black;90.0
serif;Acosta;Acosta Bold Italic;99.0
serif;Acosta;Acosta Bold;90.0
serif;Acosta;Acosta Extra Bold Italic;99.99999904632568
serif;Acosta;Acosta Extra Bold;90.0
serif;Acosta;Acosta Extra Light Italic;99.99999904632568
serif;Acosta;Acosta Extra Light;90.0
serif;Acosta;Acosta Italic;99.0
serif;Acosta;Acosta Light Italic;99.99999904632568
serif;Acosta;Acosta Light;90.0
serif;Acosta;Acosta Medium Italic;99.0
serif;Acosta;Acosta Medium;90.0
serif;Acosta;Acosta Regular;90.0
serif;Acosta;Acosta Semi Bold Italic;99.0
serif;Acosta;Acosta Semi Bold;90.0
serif;Acosta;Acosta Thin Italic;99.99999904632568
serif;Acosta;Acosta Thin;90.0
serif;Acris;Acris Bold;90.0
serif;Acris;Acris Regular;90.0
serif;Acta Display;Acta Display Black Italic;97.99999952316284
serif;Acta Display;Acta Display Black;90.0
serif;Acta Display;Acta Display Bold Italic;97.99999952316284
serif;Acta Display;Acta Display Bold;90.0
serif;Acta Display;Acta Display Book Italic;96.99999952316284
serif;Acta Display;Acta Display Book;90.0
serif;Acta Display;Acta Display ExtraBold Italic;97.99999952316284
serif;Acta Display;Acta Display ExtraBold;90.0
serif;Acta Display;Acta Display Light Italic;96.99999952316284
serif;Acta Display;Acta Display Light;90.0
serif;Acta Display;Acta Display Medium Italic;97.99999952316284
serif;Acta Display;Acta Display Medium;90.0
serif;Acta Poster;Acta Poster Italic;96.99999952316284
serif;Acta Poster;Acta Poster Swashes;96.99999952316284
serif;Acta Poster;Acta Poster;90.0
serif;Acta;Acta Black Italic;97.99999952316284
serif;Acta;Acta Black;90.0
serif;Acta;Acta Bold Italic;97.99999952316284
serif;Acta;Acta Bold;90.0
serif;Acta;Acta Book Italic;97.99999952316284
serif;Acta;Acta Book;90.0
serif;Acta;Acta ExtraBold Italic;97.99999952316284
serif;Acta;Acta ExtraBold;90.0
serif;Acta;Acta Light Italic;97.99999952316284
serif;Acta;Acta Light;90.0
serif;Acta;Acta Medium Italic;97.99999952316284
serif;Acta;Acta Medium;90.0
serif;Actio;Actio Shadow;90.0
serif;Actio;Actio;90.0
serif;Actu;Actu Regular;90.0
serif;Acustica;Acustica Caps Italic Swashes;102.0
serif;Acustica;Acustica Caps Italic;102.0
serif;Acustica;Acustica Caps Swashes;90.0
serif;Acustica;Acustica Caps;90.0
serif;Acustica;Acustica Dingbats;-
serif;Acustica;Acustica Script;111.99999809265137
serif;Acuta;Acuta Black Italic;99.0
serif;Acuta;Acuta Black;90.0
serif;Acuta;Acuta Bold Italic;99.0
serif;Acuta;Acuta Bold;90.0
serif;Acuta;Acuta Book Italic;99.0
serif;Acuta;Acuta Book;90.0
serif;Acuta;Acuta Fat Italic;99.0
serif;Acuta;Acuta Fat;90.0
serif;Acuta;Acuta Light Italic;99.0
serif;Acuta;Acuta Light;90.0
serif;Acuta;Acuta Medium Italic;99.0
serif;Acuta;Acuta Medium;90.0
serif;Acuta;Acuta Thin Italic;99.0
serif;Acuta;Acuta Thin;90.0
serif;Adagio Serif;Adagio Serif Black italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Black;90.0
serif;Adagio Serif;Adagio Serif Bold italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Bold;90.0
serif;Adagio Serif;Adagio Serif ExtraLight italic;96.99999952316284
serif;Adagio Serif;Adagio Serif ExtraLight;90.0
serif;Adagio Serif;Adagio Serif Heavy italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Heavy;90.0
serif;Adagio Serif;Adagio Serif Light italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Light;90.0
serif;Adagio Serif;Adagio Serif Medium italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Medium;90.0
serif;Adagio Serif;Adagio Serif SemiBold italic;97.99999952316284
serif;Adagio Serif;Adagio Serif SemiBold;90.0
serif;Adagio Serif;Adagio Serif Thin italic;97.99999952316284
serif;Adagio Serif;Adagio Serif Thin;90.0
serif;Adagio Serif;Adagio Serif italic;97.99999952316284
serif;Adagio Serif;Adagio Serif;90.0
serif;Addington CF;Addington CF Bold Italic;108.99999809265137
serif;Addington CF;Addington CF Bold;90.0
serif;Addington CF;Addington CF Demi Bold Italic;108.99999809265137
serif;Addington CF;Addington CF Demi Bold;90.0
serif;Addington CF;Addington CF Extra Bold Italic;108.0
serif;Addington CF;Addington CF Extra Bold;90.0
serif;Addington CF;Addington CF Light Italic;108.0
serif;Addington CF;Addington CF Light;90.0
serif;Addington CF;Addington CF Medium Italic;108.0
serif;Addington CF;Addington CF Medium;90.0
serif;Addington CF;Addington CF Regular Italic;108.0
serif;Addington CF;Addington CF Regular;90.0
serif;Addington CF;Addington CF Thin Italic;108.0
serif;Addington CF;Addington CF Thin;90.0
serif;Addison;Addison Circus Drop;90.0
serif;Addison;Addison Circus Flat;90.0
serif;Addison;Addison West Drop;90.0
serif;Addison;Addison West Flat;90.0
