Category;Family;StyleName;Slope
slab serif;Bunday Slab™;Bunday Slab Bold It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab Bold;90.0
slab serif;Bunday Slab™;Bunday Slab Bold Up;90.0
slab serif;Bunday Slab™;Bunday Slab ExtraBold It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab ExtraBold;90.0
slab serif;Bunday Slab™;Bunday Slab ExtraBold Up;90.0
slab serif;Bunday Slab™;Bunday Slab Hair It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab Hair;90.0
slab serif;Bunday Slab™;Bunday Slab Hair Up;90.0
slab serif;Bunday Slab™;Bunday Slab Heavy;90.0
slab serif;Bunday Slab™;Bunday Slab Heavy Up;90.0
slab serif;Bunday Slab™;Bunday Slab Light It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab Light;90.0
slab serif;Bunday Slab™;Bunday Slab Light Up;90.0
slab serif;Bunday Slab™;Bunday Slab Regular It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab Regular;90.0
slab serif;Bunday Slab™;Bunday Slab Regular Up;90.0
slab serif;Bunday Slab™;Bunday Slab SemiBold It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab SemiBold;90.0
slab serif;Bunday Slab™;Bunday Slab SemiBold Up;90.0
slab serif;Bunday Slab™;Bunday Slab SemiLight It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab SemiLight;90.0
slab serif;Bunday Slab™;Bunday Slab SemiLight Up;90.0
slab serif;Bunday Slab™;Bunday Slab Thin It;100.99999904632568
slab serif;Bunday Slab™;Bunday Slab Thin;90.0
slab serif;Bunday Slab™;Bunday Slab Thin Up;90.0
slab serif;CamingoSlab™;Camingo Slab Black Italic;100.99999904632568
slab serif;CamingoSlab™;Camingo Slab Black;90.0
slab serif;CamingoSlab™;CamingoSlab Bold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Bold;90.0
slab serif;CamingoSlab™;CamingoSlab ExtraBold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab ExtraBold;90.0
slab serif;CamingoSlab™;CamingoSlab ExtraLight Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab ExtraLight;90.0
slab serif;CamingoSlab™;CamingoSlab Light Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Light;90.0
slab serif;CamingoSlab™;CamingoSlab Pro Black Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro Black;90.0
slab serif;CamingoSlab™;CamingoSlab Pro Bold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro Bold;90.0
